title,description,artist,country,culture,teaserText,url,image,regularImage,largeImage,date,medium,accessionNumber,galleryInformation,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Airedale from Cowan' s Dog Pictures ,"Cowan Company, Limited (Canadian, 1893–1926)","Cowan Company, Limited",unknown,unknown," Cowan Company, Limited (Canadian, 1893–1926)   Date: ca. 1929Accession Number: Burdick 335, V13.18 ",/art/collection/search/840158?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=11,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,20th Century,Lithograph,"Burdick 335, V13.18",unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Airedale Terrier from Our Friend – the Dog Educational Pictures 	,unknown,unknown,unknown,unknown, Date: ca. 1950–55Accession Number: 63.350.536.608.4.19 ,/art/collection/search/814559?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=12,https://images.metmuseum.org/CRDImages/dp/mobile-large/DPB882437.jpg,dp/web-additional/DPB882437.jpg,dp/web-large/DPB882437.jpg,20th Century,Lithograph,63.350.536.608.4.19,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"An alley of fountains, a group of people in center, a man and dog seated to right, two men and a woman to left, one of the men tasting the water from the fountain, the villa in background to right, from ' Views of the villa at Pratolino'  (Vues de la villa de Pratolino)","Stefano della Bella (Italian, Florence 1610–1664 Florence)",Stefano della Bella,unknown,unknown," Stefano della Bella (Italian, Florence 1610–1664 Florence)   Date: ca. 1653Accession Number: 2012.136.537.1 ",/art/collection/search/411206?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=13,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP827728.jpg,dp/web-additional/DP827728.jpg,dp/web-large/DP827728.jpg,17th Century,Etching,2012.136.537.1,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Alsatian Wolfhound from Cowan' s Dog Pictures ,"Cowan Company, Limited (Canadian, 1893–1926)","Cowan Company, Limited",unknown,unknown," Cowan Company, Limited (Canadian, 1893–1926)   Date: ca. 1929Accession Number: Burdick 335, V13.5 ",/art/collection/search/840144?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=14,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,20th Century,Lithograph,"Burdick 335, V13.5",unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Alternative design for a fireplace with paneling on either side, vases above the mantle on the right-hand side and a dog andiron on the left-hand side, from Cheminées et Lambris a la Mode excutez dans les nouueaux Batimens de Paris, bound in Oeuvres. Vol. I","Pierre Le Pautre (French, ca. 1660–1744)",Pierre Le Pautre,unknown,unknown," Pierre Le Pautre (French, ca. 1660–1744)   Date: ca. 1690–95Accession Number: 33.84(1.132) ",/art/collection/search/431048?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=15,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,17th Century,Etching,33.84(1.132),unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Angry Dog,"Attributed to Jean-Baptiste Oudry (French, Paris 1686–1755 Beauvais)",Jean-Baptiste Oudry,unknown,unknown," Attributed to Jean-Baptiste Oudry (French, Paris 1686–1755 Beauvais)   Date: 18th centuryAccession Number: 1975.131.122 ",/art/collection/search/337908?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=16,https://images.metmuseum.org/CRDImages/dp/mobile-large/1975.131.122.jpg,dp/web-additional/1975.131.122.jpg,dp/web-large/1975.131.122.jpg,20th Century,Illustration,1.975.131.122,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Antique Ewer with a Handle in the Shape of a Dog Looking into the Spout, from ""  of Vases after the Antique""","Enea Vico (Italian, Parma 1523–1567 Ferrara)",Enea Vico,unknown,unknown," Enea Vico (Italian, Parma 1523–1567 Ferrara)   Date: 1543Accession Number: 26.50.1(29) ",/art/collection/search/370830?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=17,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,16th Century,Engraving,26.50.1(29),unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Antique Ewer with a Spout in the Shape of a Dog (?) Holding Up a Plate in his Mouth, from ""  of Vases after the Antique""","Enea Vico (Italian, Parma 1523–1567 Ferrara)",Enea Vico,unknown,unknown," Enea Vico (Italian, Parma 1523–1567 Ferrara)   Date: 1543Accession Number: 26.50.1(26) ",/art/collection/search/370858?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=18,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,16th Century,Engraving,26.50.1(26),unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Apothecary Jar with Running Hares and a Dog,unknown,unknown,unknown,unknown, Date: 12th centuryAccession Number: 2013.255 ,/art/collection/search/458261?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=19,https://images.metmuseum.org/CRDImages/is/mobile-large/DP353096.jpg,is/web-additional/DP353096.jpg,is/web-large/DP353096.jpg,12th century,Stonepaste,02.17.15,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The Artist' s Wife and His Setter Dog,"Thomas Eakins (American, Philadelphia, Pennsylvania 1844–1916 Philadelphia, Pennsylvania)",Thomas Eakins,USA,American," Thomas Eakins (American, Philadelphia, Pennsylvania 1844–1916 Philadelphia, Pennsylvania)   Date: ca. 1884–89Accession Number: 23.139 ",/art/collection/search/10811?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=20,https://images.metmuseum.org/CRDImages/ad/mobile-large/DT2037.jpg,ad/web-additional/DT2037.jpg,ad/web-large/DT2037.jpg,20th Century,Illustration,25.19.00,On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzAzNDczLDQwLjc4MDQ3NjI3QGxtQDg2MzY5MzY5Njgx' target='_blank'>Gallery 773</a>,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The Ass, Jealous of the Attention the Dog Is Getting From His Master, Looks to Imitate Him by Jumping at the Master' s Neck from Hendrick van Alcmar' s Renard The Fox","Allart van Everdingen (Dutch, Alkmaar 1621–1675 Amsterdam)",Allart van Everdingen,unknown,unknown," Allart van Everdingen (Dutch, Alkmaar 1621–1675 Amsterdam)   Date: 1650–75Accession Number: 62.650.8(50) ",/art/collection/search/429623?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=21,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP837679.jpg,dp/web-additional/DP837679.jpg,dp/web-large/DP837679.jpg,17th Century,Engraving,62.650.8(50),unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Avarice (or Hatred?) brandishing a bone before a dog,"Medalist: Peter Flötner (German, Thurgau 1485–1546 Nuremberg)",Peter Flötner,Germany,German," Medalist: Peter Flötner (German, Thurgau 1485–1546 Nuremberg)   Date: 16th centuryAccession Number: 08.80.103 ",/art/collection/search/211256?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=22,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,17th Century,Lead,09.21.43,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
A Baby in 16th century Dress with a Rooster and a Dog (in Sketch Book With Drawings on Twenty-six Leaves),"Frederic, Lord Leighton (British, Scarborough 1830–1896 London)","Frederic, Lord Leighton",unknown,unknown," Frederic, Lord Leighton (British, Scarborough 1830–1896 London)   Date: ca. 1849Accession Number: 42.21(7) ",/art/collection/search/418097?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=23,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP826419.jpg,dp/web-additional/DP826419.jpg,dp/web-large/DP826419.jpg,20th Century,Illustration,42.21(7),unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Baby with Rattle and Dog,Attributed to Mrs. Moses B. Russell (Clarissa Peters) (1809–1854),Moses B. Russel,USA,American, Attributed to Mrs. Moses B. Russell (Clarissa Peters) (1809–1854)   Date: 1842Accession Number: 1999.6 ,/art/collection/search/16450?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=24,https://images.metmuseum.org/CRDImages/ad/mobile-large/DT4353.jpg,ad/web-additional/DT4353.jpg,ad/web-large/DT4353.jpg,20th Century,Illustration,1999.6,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Bacchus standing in a niche holding grapes in his raised right hand, fruit in his left hand, a dog lower right","Marco Dente (Italian, Ravenna, active by 1515–died 1527 Rome)",Marco Dente,unknown,unknown," Marco Dente (Italian, Ravenna, active by 1515–died 1527 Rome)   Date: ca. 1515–27Accession Number: 26.50.1(74) ",/art/collection/search/342498?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=25,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP818699.jpg,dp/web-additional/DP818699.jpg,dp/web-large/DP818699.jpg,16th Century,Engraving,26.50.1(74),unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Bacchus standing in a niche holding grapes in his raised right hand, fruit in his left hand, a dog lower right","Marco Dente (Italian, Ravenna, active by 1515–died 1527 Rome)",Marco Dente,unknown,unknown," Marco Dente (Italian, Ravenna, active by 1515–died 1527 Rome)   Date: ca. 1515–27Accession Number: 17.50.16-66 ",/art/collection/search/342493?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=26,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP818714.jpg,dp/web-additional/DP818714.jpg,dp/web-large/DP818714.jpg,16th Century,Engraving,17.50.16-66,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Banquet of the Piacevoli, various men are seated at long tables around the perimeter of a large room, a man seated to the right giving a dog table scraps, curtains are draped around the image, Medici coat of arms at top center","Stefano della Bella (Italian, Florence 1610–1664 Florence)",Stefano della Bella,unknown,unknown," Stefano della Bella (Italian, Florence 1610–1664 Florence)   Date: 1627Accession Number: 2012.136.448 ",/art/collection/search/410397?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=27,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP833270.jpg,dp/web-additional/DP833270.jpg,dp/web-large/DP833270.jpg,17th Century,Etching,2.012.136.448,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"""Barney"" The Irish Terrier from Cowan' s Dog Pictures ","Cowan Company, Limited (Canadian, 1893–1926)","Cowan Company, Limited",unknown,unknown," Cowan Company, Limited (Canadian, 1893–1926)   Date: ca. 1929Accession Number: Burdick 335, V13.15 ",/art/collection/search/840154?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=28,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,20th Century,Lithograph,"Burdick 335, V13.15",unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"[Bear and dog in clothing], Pet Cigarettes from Allen &   Ginter Advertising Cards","Allen &   Ginter (American, Richmond, Virginia)",Allen & Ginter,unknown,unknown," Allen &   Ginter (American, Richmond, Virginia)   Date: 1880sAccession Number: Burdick 5, .22 ",/art/collection/search/854209?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=29,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,20th Century,Lithograph,"Burdick 5, .22",unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Beware of the Dog,"Samuel L. Margolies (American, New York 1897–1974 Fort Pierce, Florida)",Samuel L. Margolies,unknown,unknown," Samuel L. Margolies (American, New York 1897–1974 Fort Pierce, Florida)   Date: 20th centuryAccession Number: 54.647.16 ",/art/collection/search/357481?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=30,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,20th century,Illustration,64.47.16,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Beware of the Dog,"Samuel L. Margolies (American, New York 1897–1974 Fort Pierce, Florida)",Samuel L. Margolies,unknown,unknown," Samuel L. Margolies (American, New York 1897–1974 Fort Pierce, Florida)   Date: 1915–54Accession Number: 54.647.17 ",/art/collection/search/357482?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=31,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,20th Century,Etching,64.47.17,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Black Dog Inn Yard At Belfont,"Thomas Rowlandson (British, London 1757–1827 London)",Thomas Rowlandson,unknown,unknown," Thomas Rowlandson (British, London 1757–1827 London)   Date: January 1, 1794Accession Number: 56.567.32 ",/art/collection/search/738920?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=32,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP872138.jpg,dp/web-additional/DP872138.jpg,dp/web-large/DP872138.jpg,18th Century,Etching,65.27.32,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Black Dog Inn Yard At Belfont,"Thomas Rowlandson (British, London 1757–1827 London)",Thomas Rowlandson,unknown,unknown," Thomas Rowlandson (British, London 1757–1827 London)   Date: 1785–87Accession Number: 59.533.1705 ",/art/collection/search/738916?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=33,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP872139.jpg,dp/web-additional/DP872139.jpg,dp/web-large/DP872139.jpg,18th Century,Etching,600.42.45,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Blind beggar with sitting dog,"Pietro Faccini (Italian, Bologna ca. 1562–1602 Bologna)",Pietro Faccini,unknown,unknown," Pietro Faccini (Italian, Bologna ca. 1562–1602 Bologna)   Date: 1590–1600Accession Number: 17.3.1816 ",/art/collection/search/830042?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=34,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,16th Century,Etching,17.33.16,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Blood Hound from Cowan' s Dog Pictures ,"Cowan Company, Limited (Canadian, 1893–1926)","Cowan Company, Limited",unknown,unknown," Cowan Company, Limited (Canadian, 1893–1926)   Date: ca. 1929Accession Number: Burdick 335, V13.22 ",/art/collection/search/840165?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=35,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,20th Century,Lithograph,"Burdick 335, V13.22",unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Bloodhound from Our Friend – the Dog Educational Pictures ,unknown,unknown,unknown,unknown, Date: ca. 1950–55Accession Number: 63.350.536.608.4.9 ,/art/collection/search/814545?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=36,https://images.metmuseum.org/CRDImages/dp/mobile-large/DPB882427.jpg,dp/web-additional/DPB882427.jpg,dp/web-large/DPB882427.jpg,20th Century,Lithograph,63.350.536.608.4.9,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Boarhound from Cowan' s Dog Pictures ,"Cowan Company, Limited (Canadian, 1893–1926)","Cowan Company, Limited",unknown,unknown," Cowan Company, Limited (Canadian, 1893–1926)   Date: ca. 1920–29Accession Number: Burdick 335, V22.1 ",/art/collection/search/841076?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=37,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,20th Century,Lithograph,"Burdick 335, V22.1",unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Bolognese dog,"Meissen Manufactory (German, 1710–present)",Meissen Manufactory,Germany,"German, Meissen"," Meissen Manufactory (German, 1710–present)   Date: ca. 1733Accession Number: 1974.356.416 ",/art/collection/search/205968?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=38,https://images.metmuseum.org/CRDImages/es/mobile-large/205134.jpg,es/web-additional/205134.jpg,es/web-large/205134.jpg,18th Century,Porcelain,1.974.356.416,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Bolognese dog,"Meissen Manufactory (German, 1710–present)",Meissen Manufactory,Germany,"German, Meissen"," Meissen Manufactory (German, 1710–present)   Date: ca. 1733Accession Number: 54.147.69 ",/art/collection/search/201771?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=39,https://images.metmuseum.org/CRDImages/es/mobile-large/DP132915.jpg,es/web-additional/DP132915.jpg,es/web-large/DP132915.jpg,18th Century,Porcelain,56.28.09,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The Bone of Contention or the English Bull Dog and the Corsican Monkey,"Charles Williams (British, active 1797–1830)",Charles Williams,unknown,unknown," Charles Williams (British, active 1797–1830)   Date: June 14, 1803Accession Number: 59.533.895 ",/art/collection/search/392573?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=40,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP818517.jpg,dp/web-additional/DP818517.jpg,dp/web-large/DP818517.jpg,18th Century,Etching,68.07.55,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Boston Bull from Cowan' s Dog Pictures ,"Cowan Company, Limited (Canadian, 1893–1926)","Cowan Company, Limited",unknown,unknown," Cowan Company, Limited (Canadian, 1893–1926)   Date: ca. 1929Accession Number: Burdick 335, V13.16 ",/art/collection/search/840155?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=41,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,20th Century,Lithograph,"Burdick 335, V13.16",unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Boston Terrier from Our Friend – the Dog Educational Pictures ,unknown,unknown,unknown,unknown, Date: ca. 1950–55Accession Number: 63.350.536.608.4.1 ,/art/collection/search/814529?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&  pos=42,https://images.metmuseum.org/CRDImages/dp/mobile-large/DPB882419.jpg,dp/web-additional/DPB882419.jpg,dp/web-large/DPB882419.jpg,20th Century,Lithograph,63.350.536.608.4.1,unkown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
